,Track,Distance,Condish,Par Time
17,gundagai,1800,soft,111.67642857142857
18,gundagai,1800,heavy,114.67333333333333
19,gundagai,1700,good,
20,gundagai,1700,soft,
21,gundagai,1700,heavy,
22,gundagai,1410,good,
23,gundagai,1410,soft,
24,gundagai,1410,heavy,
,Track,Distance,Condish,Par Time
1,morphettville-parks,1400,good,83.84181818181818
2,morphettville-parks,1400,soft,85.88960000000003
3,morphettville-parks,1400,heavy,86.36285714285714
4,morphettville-parks,1300,good,77.96315789473684
5,morphettville-parks,1300,soft,79.228125
6,morphettville-parks,1300,heavy,80.42
7,morphettville-parks,1000,good,58.01929824561402
8,morphettville-parks,1000,soft,59.373913043478275
9,morphettville-parks,1000,heavy,60.211666666666666
10,morphettville-parks,1950,good,122.19111111111111
11,morphettville-parks,1950,soft,124.485
12,morphettville-parks,1950,heavy,125.76
13,morphettville-parks,1250,good,74.5970731707317
14,morphettville-parks,1250,soft,76.14843749999999
15,morphettville-parks,1250,heavy,76.20666666666666
16,morphettville-parks,1550,good,94.46892857142858
17,morphettville-parks,1550,soft,96.46600000000001
18,morphettville-parks,1550,heavy,96.935
19,morphettville-parks,2250,good,143.4418181818182
20,morphettville-parks,2250,soft,144.75799999999998
21,morphettville-parks,2250,heavy,147.25
22,morphettville-parks,2400,good,153.6725
23,morphettville-parks,2400,soft,
24,morphettville-parks,2400,heavy,
25,morphettville-parks,1200,good,70.66
26,morphettville-parks,1200,soft,
27,morphettville-parks,1200,heavy,
28,morphettville-parks,1600,good,97.85
29,morphettville-parks,1600,soft,
30,morphettville-parks,1600,heavy,
31,morphettville-parks,2040,good,126.69
32,morphettville-parks,2040,soft,
33,morphettville-parks,2040,heavy,
,Track,Distance,Condish,Par Time
1,narromine,1600,good,98.36627906976746
2,narromine,1600,soft,100.30699999999999
3,narromine,1600,heavy,102.382
4,narromine,800,good,45.06333333333333
5,narromine,800,soft,46.2325
6,narromine,800,heavy,46.1
7,narromine,1300,good,78.43461538461536
8,narromine,1300,soft,80.05499999999999
9,narromine,1300,heavy,81.9975
10,narromine,1100,good,65.12146341463416
11,narromine,1100,soft,66.95666666666666
12,narromine,1100,heavy,67.94428571428571
13,narromine,1200,good,70.4325
14,narromine,1200,soft,73.42
15,narromine,1200,heavy,72.94999999999999
16,narromine,2400,good,154.79
17,narromine,2400,soft,
18,narromine,2400,heavy,
,Track,Distance,Condish,Par Time
1,sandown-hillside,1000,good,57.34444444444444
2,sandown-hillside,1000,soft,57.93538461538461
3,sandown-hillside,1000,heavy,59.46444444444444
4,sandown-hillside,1700,good,103.2475
5,sandown-hillside,1700,soft,
6,sandown-hillside,1700,heavy,109.19
7,sandown-hillside,1400,good,84.55580000000002
8,sandown-hillside,1400,soft,85.90230769230769
9,sandown-hillside,1400,heavy,89.36
10,sandown-hillside,1600,good,98.091
11,sandown-hillside,1600,soft,100.80571428571429
12,sandown-hillside,1600,heavy,102.43875
13,sandown-hillside,1300,good,77.94452830188682
14,sandown-hillside,1300,soft,79.13285714285713
15,sandown-hillside,1300,heavy,81.29785714285715
16,sandown-hillside,1800,good,110.57066666666667
17,sandown-hillside,1800,soft,114.03375
18,sandown-hillside,1800,heavy,115.76999999999998
19,sandown-hillside,2400,good,152.114375
20,sandown-hillside,2400,soft,155.22333333333336
21,sandown-hillside,2400,heavy,158.73666666666665
22,sandown-hillside,1100,good,62.96
23,sandown-hillside,1100,soft,
24,sandown-hillside,1100,heavy,
25,sandown-hillside,1500,good,90.96066666666665
26,sandown-hillside,1500,soft,92.4875
27,sandown-hillside,1500,heavy,95.485
28,sandown-hillside,3000,good,191.35500000000002
29,sandown-hillside,3000,soft,193.26
30,sandown-hillside,3000,heavy,
,Track,Distance,Condish,Par Time
1,flemington,1000,good,57.67159999999999
2,flemington,1000,soft,58.66933333333332
3,flemington,1000,heavy,58.45333333333334
4,flemington,1400,good,83.1616129032258
5,flemington,1400,soft,84.85956521739129
6,flemington,1400,heavy,
7,flemington,1100,good,63.824242424242435
8,flemington,1100,soft,64.62062499999999
9,flemington,1100,heavy,65.81
10,flemington,1700,good,103.3225
11,flemington,1700,soft,105.452
12,flemington,1700,heavy,
